                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6794,                 4.4159,                 3.5437,                0.14425,                0.31275,                0.11054,                0.04646,                 1.9245,                 5.4341,                 2.5509,              0.0003327,              0.0003327,              0.0003327
                      2,                 1.8909,                 2.9786,                 2.4454,                0.15749,                0.63849,                0.17187,                0.09821,                 1.4886,                 2.1764,                 2.0637,             0.00065944,             0.00065944,             0.00065944
                      3,                 1.5937,                 2.4538,                 2.1029,                0.16728,                0.68465,                0.19309,                0.11363,                 1.4026,                 2.0364,                 1.9288,             0.00097958,             0.00097958,             0.00097958
                      4,                  1.476,                 2.1975,                  1.989,                0.18577,                0.66003,                0.25055,                0.14683,                 1.3973,                 1.9576,                 1.9389,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.4102,                 2.0776,                 1.9148,                0.21902,                 0.6616,                0.31313,                0.18197,                 1.3745,                 1.7986,                 1.9358,              0.0009703,              0.0009703,              0.0009703
                      6,                   1.37,                 1.9589,                 1.8563,                0.40497,                0.63424,                0.37149,                0.22947,                 1.3496,                 1.8292,                 1.8788,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.3525,                 1.9039,                 1.8427,                0.26629,                0.66954,                 0.4131,                0.24056,                  1.342,                 1.8099,                   1.91,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.3232,                 1.8338,                 1.8156,                0.30212,                0.65105,                0.45794,                 0.2657,                 1.3639,                 1.7102,                 1.8901,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.3052,                 1.7692,                 1.8048,                0.54139,                0.53275,                0.49126,                0.29586,                 1.3275,                 1.4933,                 1.8664,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.2908,                 1.7058,                 1.7739,                0.41422,                0.57378,                0.50133,                0.30822,                 1.3402,                 1.5379,                 1.8857,              0.0009208,              0.0009208,              0.0009208
